"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",716229,0.675384,4,7,2
"2",102,"Schleswig-Holstein Nord",442490,0.798346,5,9,3
"3",103,"Schleswig-Holstein Ost",412775,0.82131,5,9,3
"4",104,"Schleswig-Holstein Süd",996467,0.48932,2,4,2
"5",105,"Schleswig-Holstein Süd-West",262903,0.817276,5,9,3
"6",201,"Hamburg",1762791,0.280429,1,1,1
"7",301,"Braunschweig",1121836,0.49419,2,4,2
"8",302,"Bremen-Umland",530596,0.610011,3,6,2
"9",303,"Bremerhaven",395673,0.803515,5,9,3
"10",304,"Emsland",450086,0.69423,4,8,2
"11",305,"Göttingen",529356,0.605286,3,6,2
"12",306,"Hamburg-Umland-Süd",604489,0.527099,3,5,2
"13",307,"Hannover",1403515,0.542135,3,5,2
"14",308,"Hildesheim",422367,0.661699,4,7,2
"15",309,"Lüneburg",319383,0.678837,4,7,2
"16",310,"Oldenburg",569972,0.641679,4,7,2
"17",311,"Osnabrück",644397,0.619336,3,6,2
"18",312,"Ost-Friesland",632833,0.855977,5,10,3
"19",313,"Südheide",312357,0.735207,4,8,2
"20",401,"Bremen",551767,0.543472,3,5,2
"21",501,"Aachen",1244202,0.606389,3,6,2
"22",502,"Arnsberg",558303,0.603723,3,6,2
"23",503,"Bielefeld",1587807,0.555079,3,5,2
"24",504,"Bochum/Hagen",1439936,0.608241,3,6,2
"25",505,"Bonn",899739,0.345592,1,2,1
"26",506,"Dortmund",1148865,0.723269,4,8,2
"27",507,"Duisburg/Essen",2197856,0.666756,4,7,2
"28",508,"Düsseldorf",2910434,0.477105,2,4,2
"29",509,"Emscher-Lippe",986760,0.77691,5,9,3
"30",510,"Köln",2217783,0.421992,2,3,2
"31",511,"Münster",1593904,0.51487,2,4,2
"32",512,"Paderborn",441841,0.568831,3,5,2
"33",513,"Siegen",410668,0.457821,2,4,2
"34",601,"Mittelhessen",1029020,0.5144,2,4,2
"35",602,"Nordhessen",864330,0.604676,3,6,2
"36",603,"Osthessen",336720,0.521869,3,5,2
"37",604,"Rhein-Main",2803276,0.289256,1,1,1
"38",605,"Starkenburg",1060542,0.358854,1,2,1
"39",701,"Mittelrhein-Westerwald",1240667,0.63773,4,7,2
"40",702,"Rheinhessen-Nahe",855048,0.44185,2,3,2
"41",703,"Rheinpfalz",876022,0.491826,2,4,2
"42",704,"Trier",521863,0.6953,4,8,2
"43",705,"Westpfalz",517982,0.708289,4,8,2
"44",801,"Bodensee-Oberschwaben",612441,0.356226,1,2,1
"45",802,"Donau-Iller (BW)",500281,0.281425,1,1,1
"46",803,"Franken",877180,0.350239,1,2,1
"47",804,"Hochrhein-Bodensee",664688,0.508779,2,4,2
"48",805,"Mittlerer Oberrhein",1009395,0.282966,1,1,1
"49",806,"Neckar-Alb",682746,0.319936,1,2,1
"50",807,"Nordschwarzwald",580932,0.425444,2,3,2
"51",808,"Ostwürttemberg",437099,0.349557,1,2,1
"52",809,"Schwarzwald-Baar-Heuberg",476635,0.430795,2,3,2
"53",810,"Stuttgart",2694009,0.171585,1,1,1
"54",811,"Südlicher Oberrhein",1050299,0.429298,2,3,2
"55",812,"Unterer Neckar",1130939,0.306127,1,1,1
"56",901,"Allgäu",473900,0.43652,2,3,2
"57",902,"Augsburg",876783,0.410764,2,3,2
"58",903,"Bayerischer Untermain",368884,0.409297,2,3,2
"59",904,"Donau-Iller (BY)",470588,0.402262,1,2,1
"60",905,"Donau-Wald",650121,0.575645,3,6,2
"61",906,"Industrieregion Mittelfranken",1305440,0.293932,1,1,1
"62",907,"Ingolstadt",473290,0.247114,1,1,1
"63",908,"Landshut",430942,0.424244,2,3,2
"64",909,"Main-Rhön",432086,0.539752,3,5,2
"65",910,"München",2804001,0,1,1,1
"66",911,"Oberfranken-Ost",463093,0.561351,3,5,2
"67",912,"Oberfranken-West",592862,0.448707,2,4,2
"68",913,"Oberland",437234,0.31355,1,2,1
"69",914,"Oberpfalz-Nord",498445,0.550356,3,5,2
"70",915,"Regensburg",700811,0.381012,1,2,1
"71",916,"Südostoberbayern",805454,0.420565,2,3,2
"72",917,"Westmittelfranken",409755,0.528884,3,5,2
"73",918,"Würzburg",497879,0.362425,1,2,1
"74",1001,"Saar",989035,0.638767,4,7,2
"75",1101,"Berlin",3469849,0.619054,3,6,2
"76",1201,"Havelland-Fläming",759468,0.633164,4,7,2
"77",1202,"Lausitz-Spreewald",597366,0.744092,4,8,2
"78",1203,"Oderland-Spree",423894,0.76542,4,8,2
"79",1204,"Prignitz-Oberhavel",381334,0.803145,5,9,3
"80",1205,"Uckermark-Barnim",295810,0.835809,5,10,3
"81",1301,"Mecklenburgische Seenplatte",261733,0.98436,5,10,3
"82",1302,"Mittleres Mecklenburg/Rostock",416045,0.814537,5,9,3
"83",1303,"Vorpommern",461167,0.94139,5,10,3
"84",1304,"Westmecklenburg",460193,0.890096,5,10,3
"85",1401,"Oberes Elbtal/Osterzgebirge",1026007,0.578626,3,6,2
"86",1402,"Oberlausitz-Niederschlesien",566758,0.816125,5,9,3
"87",1403,"Südsachsen",1463341,0.739167,4,8,2
"88",1404,"Westsachsen",999168,0.783437,5,9,3
"89",1501,"Altmark",200739,1,5,10,3
"90",1502,"Anhalt-Bitterfeld-Wittenberg",376858,0.885658,5,10,3
"91",1503,"Halle/S.",745089,0.911856,5,10,3
"92",1504,"Magdeburg",912862,0.859486,5,10,3
"93",1601,"Mittelthüringen",666154,0.714695,4,8,2
"94",1602,"Nordthüringen",366855,0.84231,5,10,3
"95",1603,"Ostthüringen",673285,0.675246,4,7,2
"96",1604,"Südthüringen",450465,0.696358,4,8,2
