"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",716229,0.699338,4,7,2
"2",102,"Schleswig-Holstein Nord",442490,0.81791,5,9,3
"3",103,"Schleswig-Holstein Ost",412775,0.834285,5,9,3
"4",104,"Schleswig-Holstein Süd",996467,0.518018,2,4,2
"5",105,"Schleswig-Holstein Süd-West",262903,0.837636,5,9,3
"6",201,"Hamburg",1762791,0.27488,1,1,1
"7",301,"Braunschweig",1121836,0.506636,2,4,2
"8",302,"Bremen-Umland",530596,0.626467,3,6,2
"9",303,"Bremerhaven",395673,0.822066,5,9,3
"10",304,"Emsland",450086,0.690032,4,7,2
"11",305,"Göttingen",529356,0.636989,3,6,2
"12",306,"Hamburg-Umland-Süd",604489,0.529874,2,4,2
"13",307,"Hannover",1403515,0.552014,3,5,2
"14",308,"Hildesheim",422367,0.688127,4,7,2
"15",309,"Lüneburg",319383,0.679897,4,7,2
"16",310,"Oldenburg",569972,0.625879,3,6,2
"17",311,"Osnabrück",644397,0.614365,3,6,2
"18",312,"Ost-Friesland",632833,0.841025,5,10,3
"19",313,"Südheide",312357,0.726052,4,8,2
"20",401,"Bremen",551767,0.583699,3,5,2
"21",501,"Aachen",1244202,0.629718,3,6,2
"22",502,"Arnsberg",558303,0.606967,3,6,2
"23",503,"Bielefeld",1587807,0.584684,3,5,2
"24",504,"Bochum/Hagen",1439936,0.64786,4,7,2
"25",505,"Bonn",899739,0.385143,1,2,1
"26",506,"Dortmund",1148865,0.749615,4,8,2
"27",507,"Duisburg/Essen",2197856,0.709982,4,8,2
"28",508,"Düsseldorf",2910434,0.515117,2,4,2
"29",509,"Emscher-Lippe",986760,0.817608,5,9,3
"30",510,"Köln",2217783,0.441245,2,3,2
"31",511,"Münster",1593904,0.533521,2,4,2
"32",512,"Paderborn",441841,0.615757,3,6,2
"33",513,"Siegen",410668,0.489276,2,4,2
"34",601,"Mittelhessen",1029020,0.543618,3,5,2
"35",602,"Nordhessen",864330,0.622421,3,6,2
"36",603,"Osthessen",336720,0.532053,2,4,2
"37",604,"Rhein-Main",2803276,0.305261,1,1,1
"38",605,"Starkenburg",1060542,0.383019,1,2,1
"39",701,"Mittelrhein-Westerwald",1240667,0.647727,4,7,2
"40",702,"Rheinhessen-Nahe",855048,0.460035,2,3,2
"41",703,"Rheinpfalz",876022,0.527802,2,4,2
"42",704,"Trier",521863,0.694018,4,7,2
"43",705,"Westpfalz",517982,0.718477,4,8,2
"44",801,"Bodensee-Oberschwaben",612441,0.384005,1,2,1
"45",802,"Donau-Iller (BW)",500281,0.319885,1,1,1
"46",803,"Franken",877180,0.376514,1,2,1
"47",804,"Hochrhein-Bodensee",664688,0.562811,3,5,2
