"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",716229,0.662218,4,7,2
"2",102,"Schleswig-Holstein Nord",442490,0.77012,5,9,3
"3",103,"Schleswig-Holstein Ost",412775,0.797714,5,9,3
"4",104,"Schleswig-Holstein Süd",996467,0.455319,2,4,2
"5",105,"Schleswig-Holstein Süd-West",262903,0.762619,5,9,3
"6",201,"Hamburg",1762791,0.330145,1,2,1
"7",301,"Braunschweig",1121836,0.508397,3,5,2
"8",302,"Bremen-Umland",530596,0.604739,3,6,2
"9",303,"Bremerhaven",395673,0.807304,5,9,3
"10",304,"Emsland",450086,0.690507,4,8,2
"11",305,"Göttingen",529356,0.624059,4,7,2
"12",306,"Hamburg-Umland-Süd",604489,0.550087,3,6,2
"13",307,"Hannover",1403515,0.545375,3,6,2
"14",308,"Hildesheim",422367,0.663301,4,7,2
"15",309,"Lüneburg",319383,0.693978,4,8,2
"16",310,"Oldenburg",569972,0.663777,4,7,2
"17",311,"Osnabrück",644397,0.571529,3,6,2
"18",312,"Ost-Friesland",632833,0.871085,5,10,3
"19",313,"Südheide",312357,0.754861,4,8,2
"20",401,"Bremen",551767,0.54252,3,5,2
"21",501,"Aachen",1244202,0.568225,3,6,2
"22",502,"Arnsberg",558303,0.56038,3,6,2
"23",503,"Bielefeld",1587807,0.486129,3,5,2
"24",504,"Bochum/Hagen",1439936,0.538977,3,5,2
"25",505,"Bonn",899739,0.315075,1,2,1
"26",506,"Dortmund",1148865,0.64729,4,7,2
"27",507,"Duisburg/Essen",2197856,0.611882,4,7,2
"28",508,"Düsseldorf",2910434,0.420101,2,3,2
"29",509,"Emscher-Lippe",986760,0.706465,4,8,2
"30",510,"Köln",2217783,0.38239,1,2,1
"31",511,"Münster",1593904,0.451517,2,4,2
"32",512,"Paderborn",441841,0.51788,3,5,2
"33",513,"Siegen",410668,0.444248,2,4,2
"34",601,"Mittelhessen",1029020,0.462422,2,4,2
"35",602,"Nordhessen",864330,0.567763,3,6,2
"36",603,"Osthessen",336720,0.453996,2,4,2
"37",604,"Rhein-Main",2803276,0.258524,1,1,1
"38",605,"Starkenburg",1060542,0.303316,1,1,1
"39",701,"Mittelrhein-Westerwald",1240667,0.594338,3,6,2
"40",702,"Rheinhessen-Nahe",855048,0.404071,2,3,2
"41",703,"Rheinpfalz",876022,0.448298,2,4,2
"42",704,"Trier",521863,0.605174,3,6,2
"43",705,"Westpfalz",517982,0.639282,4,7,2
"44",801,"Bodensee-Oberschwaben",612441,0.33777,1,2,1
"45",802,"Donau-Iller (BW)",500281,0.256625,1,1,1
"46",803,"Franken",877180,0.363534,1,2,1
"47",804,"Hochrhein-Bodensee",664688,0.478514,3,5,2
"48",805,"Mittlerer Oberrhein",1009395,0.239927,1,1,1
"49",806,"Neckar-Alb",682746,0.27653,1,1,1
"50",807,"Nordschwarzwald",580932,0.39383,2,3,2
"51",808,"Ostwürttemberg",437099,0.31359,1,2,1
"52",809,"Schwarzwald-Baar-Heuberg",476635,0.408047,2,3,2
"53",810,"Stuttgart",2694009,0.117947,1,1,1
"54",811,"Südlicher Oberrhein",1050299,0.382774,2,3,2
"55",812,"Unterer Neckar",1130939,0.30904,1,2,1
"56",901,"Allgäu",473900,0.432598,2,4,2
"57",902,"Augsburg",876783,0.406467,2,3,2
"58",903,"Bayerischer Untermain",368884,0.394203,2,3,2
"59",904,"Donau-Iller (BY)",470588,0.397869,2,3,2
"60",905,"Donau-Wald",650121,0.542753,3,5,2
"61",906,"Industrieregion Mittelfranken",1305440,0.318616,1,2,1
"62",907,"Ingolstadt",473290,0.254595,1,1,1
"63",908,"Landshut",430942,0.407661,2,3,2
"64",909,"Main-Rhön",432086,0.477481,2,4,2
"65",910,"München",2804001,0,1,1,1
"66",911,"Oberfranken-Ost",463093,0.530849,3,5,2
"67",912,"Oberfranken-West",592862,0.427631,2,4,2
"68",913,"Oberland",437234,0.308175,1,1,1
"69",914,"Oberpfalz-Nord",498445,0.51938,3,5,2
"70",915,"Regensburg",700811,0.369151,1,2,1
"71",916,"Südostoberbayern",805454,0.3894,2,3,2
