"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",716229,0.684695,4,7,2
"2",102,"Schleswig-Holstein Nord",442490,0.810276,5,9,3
"3",103,"Schleswig-Holstein Ost",412775,0.785312,5,9,3
"4",104,"Schleswig-Holstein Süd",996467,0.477941,2,4,2
"5",105,"Schleswig-Holstein Süd-West",262903,0.783624,4,8,2
"6",201,"Hamburg",1762791,0.29731,1,1,1
"7",301,"Braunschweig",1121836,0.515858,2,4,2
"8",302,"Bremen-Umland",530596,0.639659,3,6,2
"9",303,"Bremerhaven",395673,0.804423,5,9,3
"10",304,"Emsland",450086,0.71776,4,8,2
"11",305,"Göttingen",529356,0.628612,3,6,2
"12",306,"Hamburg-Umland-Süd",604489,0.550281,3,5,2
"13",307,"Hannover",1403515,0.557093,3,5,2
"14",308,"Hildesheim",422367,0.681599,4,7,2
"15",309,"Lüneburg",319383,0.699662,4,8,2
"16",310,"Oldenburg",569972,0.679461,4,7,2
"17",311,"Osnabrück",644397,0.64032,3,6,2
"18",312,"Ost-Friesland",632833,0.875084,5,10,3
"19",313,"Südheide",312357,0.773661,4,8,2
"20",401,"Bremen",551767,0.532969,3,5,2
"21",501,"Aachen",1244202,0.629825,3,6,2
"22",502,"Arnsberg",558303,0.604705,3,6,2
"23",503,"Bielefeld",1587807,0.563523,3,5,2
"24",504,"Bochum/Hagen",1439936,0.62146,3,6,2
"25",505,"Bonn",899739,0.373738,1,2,1
"26",506,"Dortmund",1148865,0.733098,4,8,2
"27",507,"Duisburg/Essen",2197856,0.680202,4,7,2
"28",508,"Düsseldorf",2910434,0.499558,2,4,2
"29",509,"Emscher-Lippe",986760,0.79151,5,9,3
"30",510,"Köln",2217783,0.437723,2,3,2
"31",511,"Münster",1593904,0.515988,2,4,2
"32",512,"Paderborn",441841,0.584683,3,5,2
"33",513,"Siegen",410668,0.497953,2,4,2
"34",601,"Mittelhessen",1029020,0.516836,2,4,2
"35",602,"Nordhessen",864330,0.605106,3,6,2
"36",603,"Osthessen",336720,0.518773,2,4,2
"37",604,"Rhein-Main",2803276,0.286076,1,1,1
"38",605,"Starkenburg",1060542,0.351723,1,2,1
"39",701,"Mittelrhein-Westerwald",1240667,0.636467,3,6,2
"40",702,"Rheinhessen-Nahe",855048,0.434518,2,3,2
"41",703,"Rheinpfalz",876022,0.501342,2,4,2
"42",704,"Trier",521863,0.684003,4,7,2
"43",705,"Westpfalz",517982,0.696838,4,7,2
"44",801,"Bodensee-Oberschwaben",612441,0.396713,1,2,1
"45",802,"Donau-Iller (BW)",500281,0.31825,1,1,1
"46",803,"Franken",877180,0.396844,1,2,1
"47",804,"Hochrhein-Bodensee",664688,0.547114,3,5,2
"48",805,"Mittlerer Oberrhein",1009395,0.30606,1,1,1
"49",806,"Neckar-Alb",682746,0.351798,1,2,1
"50",807,"Nordschwarzwald",580932,0.470389,2,3,2
"51",808,"Ostwürttemberg",437099,0.367933,1,2,1
"52",809,"Schwarzwald-Baar-Heuberg",476635,0.473169,2,4,2
"53",810,"Stuttgart",2694009,0.200041,1,1,1
"54",811,"Südlicher Oberrhein",1050299,0.451186,2,3,2
"55",812,"Unterer Neckar",1130939,0.34059,1,2,1
"56",901,"Allgäu",473900,0.458643,2,3,2
"57",902,"Augsburg",876783,0.433376,2,3,2
"58",903,"Bayerischer Untermain",368884,0.426672,2,3,2
"59",904,"Donau-Iller (BY)",470588,0.423543,1,2,1
"60",905,"Donau-Wald",650121,0.609663,3,6,2
"61",906,"Industrieregion Mittelfranken",1305440,0.325309,1,1,1
"62",907,"Ingolstadt",473290,0.258024,1,1,1
"63",908,"Landshut",430942,0.440896,2,3,2
"64",909,"Main-Rhön",432086,0.540773,3,5,2
"65",910,"München",2804001,0,1,1,1
"66",911,"Oberfranken-Ost",463093,0.563075,3,5,2
"67",912,"Oberfranken-West",592862,0.457203,2,3,2
"68",913,"Oberland",437234,0.33041,1,1,1
"69",914,"Oberpfalz-Nord",498445,0.571689,3,5,2
"70",915,"Regensburg",700811,0.405955,1,2,1
"71",916,"Südostoberbayern",805454,0.441585,2,3,2
"72",917,"Westmittelfranken",409755,0.532444,3,5,2
"73",918,"Würzburg",497879,0.375781,1,2,1
"74",1001,"Saar",989035,0.654238,4,7,2
"75",1101,"Berlin",3469849,0.665477,4,7,2
"76",1201,"Havelland-Fläming",759468,0.655124,4,7,2
"77",1202,"Lausitz-Spreewald",597366,0.761893,4,8,2
"78",1203,"Oderland-Spree",423894,0.793911,5,9,3
"79",1204,"Prignitz-Oberhavel",381334,0.836532,5,9,3
"80",1205,"Uckermark-Barnim",295810,0.815985,5,9,3
"81",1301,"Mecklenburgische Seenplatte",261733,0.979126,5,10,3
"82",1302,"Mittleres Mecklenburg/Rostock",416045,0.844834,5,10,3
"83",1303,"Vorpommern",461167,0.975647,5,10,3
"84",1304,"Westmecklenburg",460193,0.931304,5,10,3
"85",1401,"Oberes Elbtal/Osterzgebirge",1026007,0.593758,3,6,2
"86",1402,"Oberlausitz-Niederschlesien",566758,0.80055,5,9,3
"87",1403,"Südsachsen",1463341,0.751627,4,8,2
"88",1404,"Westsachsen",999168,0.792428,5,9,3
"89",1501,"Altmark",200739,1,5,10,3
"90",1502,"Anhalt-Bitterfeld-Wittenberg",376858,0.898656,5,10,3
"91",1503,"Halle/S.",745089,0.929106,5,10,3
"92",1504,"Magdeburg",912862,0.888855,5,10,3
"93",1601,"Mittelthüringen",666154,0.744888,4,8,2
"94",1602,"Nordthüringen",366855,0.871937,5,10,3
"95",1603,"Ostthüringen",673285,0.70164,4,8,2
"96",1604,"Südthüringen",450465,0.73421,4,8,2
