"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",716229,0.70922,4,7,2
"2",102,"Schleswig-Holstein Nord",442490,0.752182,4,8,2
"3",103,"Schleswig-Holstein Ost",412775,0.825959,5,9,3
"4",104,"Schleswig-Holstein Süd",996467,0.474157,2,4,2
"5",105,"Schleswig-Holstein Süd-West",262903,0.772568,5,9,3
"6",201,"Hamburg",1762791,0.353821,1,2,1
"7",301,"Braunschweig",1121836,0.563123,3,5,2
"8",302,"Bremen-Umland",530596,0.641493,4,7,2
"9",303,"Bremerhaven",395673,0.876637,5,10,3
"10",304,"Emsland",450086,0.69793,4,7,2
"11",305,"Göttingen",529356,0.652176,4,7,2
"12",306,"Hamburg-Umland-Süd",604489,0.501376,3,5,2
"13",307,"Hannover",1403515,0.567201,3,6,2
"14",308,"Hildesheim",422367,0.677091,4,7,2
"15",309,"Lüneburg",319383,0.725239,4,8,2
"16",310,"Oldenburg",569972,0.684376,4,7,2
"17",311,"Osnabrück",644397,0.587778,3,6,2
"18",312,"Ost-Friesland",632833,0.876082,5,10,3
"19",313,"Südheide",312357,0.761207,4,8,2
"20",401,"Bremen",551767,0.622261,3,6,2
"21",501,"Aachen",1244202,0.573962,3,6,2
"22",502,"Arnsberg",558303,0.519758,3,5,2
"23",503,"Bielefeld",1587807,0.500485,2,4,2
"24",504,"Bochum/Hagen",1439936,0.588128,3,6,2
"25",505,"Bonn",899739,0.296563,1,1,1
"26",506,"Dortmund",1148865,0.679941,4,7,2
"27",507,"Duisburg/Essen",2197856,0.63933,4,7,2
"28",508,"Düsseldorf",2910434,0.457176,2,4,2
"29",509,"Emscher-Lippe",986760,0.72504,4,8,2
"30",510,"Köln",2217783,0.389184,2,3,2
"31",511,"Münster",1593904,0.408075,2,3,2
"32",512,"Paderborn",441841,0.514036,3,5,2
"33",513,"Siegen",410668,0.399976,2,3,2
"34",601,"Mittelhessen",1029020,0.496068,2,4,2
"35",602,"Nordhessen",864330,0.610682,3,6,2
"36",603,"Osthessen",336720,0.494857,2,4,2
"37",604,"Rhein-Main",2803276,0.285333,1,1,1
"38",605,"Starkenburg",1060542,0.301843,1,1,1
"39",701,"Mittelrhein-Westerwald",1240667,0.613353,3,6,2
"40",702,"Rheinhessen-Nahe",855048,0.452982,2,4,2
"41",703,"Rheinpfalz",876022,0.501483,3,5,2
"42",704,"Trier",521863,0.596162,3,6,2
"43",705,"Westpfalz",517982,0.751874,4,8,2
"44",801,"Bodensee-Oberschwaben",612441,0.330683,1,2,1
"45",802,"Donau-Iller (BW)",500281,0.248446,1,1,1
"46",803,"Franken",877180,0.353917,1,2,1
"47",804,"Hochrhein-Bodensee",664688,0.530635,3,5,2
"48",805,"Mittlerer Oberrhein",1009395,0.256503,1,1,1
"49",806,"Neckar-Alb",682746,0.303289,1,2,1
"50",807,"Nordschwarzwald",580932,0.404,2,3,2
"51",808,"Ostwürttemberg",437099,0.314742,1,2,1
"52",809,"Schwarzwald-Baar-Heuberg",476635,0.422001,2,3,2
"53",810,"Stuttgart",2694009,0.168406,1,1,1
"54",811,"Südlicher Oberrhein",1050299,0.384742,2,3,2
"55",812,"Unterer Neckar",1130939,0.333719,1,2,1
"56",901,"Allgäu",473900,0.432904,2,4,2
"57",902,"Augsburg",876783,0.423085,2,3,2
"58",903,"Bayerischer Untermain",368884,0.43268,2,3,2
"59",904,"Donau-Iller (BY)",470588,0.408048,2,3,2
"60",905,"Donau-Wald",650121,0.544183,3,5,2
"61",906,"Industrieregion Mittelfranken",1305440,0.339557,1,2,1
"62",907,"Ingolstadt",473290,0.260098,1,1,1
"63",908,"Landshut",430942,0.376628,1,2,1
"64",909,"Main-Rhön",432086,0.53145,3,5,2
"65",910,"München",2804001,0,1,1,1
"66",911,"Oberfranken-Ost",463093,0.552006,3,5,2
"67",912,"Oberfranken-West",592862,0.452625,2,4,2
"68",913,"Oberland",437234,0.261223,1,1,1
"69",914,"Oberpfalz-Nord",498445,0.525995,3,5,2
"70",915,"Regensburg",700811,0.379293,2,3,2
"71",916,"Südostoberbayern",805454,0.378704,1,2,1
"72",917,"Westmittelfranken",409755,0.484514,2,4,2
"73",918,"Würzburg",497879,0.339078,1,2,1
"74",1001,"Saar",989035,0.702793,4,7,2
"75",1101,"Berlin",3469849,0.753706,4,8,2
"76",1201,"Havelland-Fläming",759468,0.630616,3,6,2
"77",1202,"Lausitz-Spreewald",597366,0.73895,4,8,2
"78",1203,"Oderland-Spree",423894,0.767286,4,8,2
"79",1204,"Prignitz-Oberhavel",381334,0.810217,5,9,3
"80",1205,"Uckermark-Barnim",295810,0.855908,5,10,3
"81",1301,"Mecklenburgische Seenplatte",261733,0.887706,5,10,3
"82",1302,"Mittleres Mecklenburg/Rostock",416045,0.817002,5,9,3
"83",1303,"Vorpommern",461167,0.901182,5,10,3
"84",1304,"Westmecklenburg",460193,0.834715,5,9,3
"85",1401,"Oberes Elbtal/Osterzgebirge",1026007,0.570586,3,6,2
"86",1402,"Oberlausitz-Niederschlesien",566758,0.790548,5,9,3
"87",1403,"Südsachsen",1463341,0.731261,4,8,2
"88",1404,"Westsachsen",999168,0.790134,5,9,3
"89",1501,"Altmark",200739,1,5,10,3
"90",1502,"Anhalt-Bitterfeld-Wittenberg",376858,0.914782,5,10,3
"91",1503,"Halle/S.",745089,0.941023,5,10,3
"92",1504,"Magdeburg",912862,0.906041,5,10,3
"93",1601,"Mittelthüringen",666154,0.849136,5,9,3
"94",1602,"Nordthüringen",366855,0.904988,5,10,3
"95",1603,"Ostthüringen",673285,0.751426,4,8,2
"96",1604,"Südthüringen",450465,0.774262,5,9,3
