"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",716229,0.638686,4,7,2
"2",102,"Schleswig-Holstein Nord",442490,0.736295,4,8,2
"3",103,"Schleswig-Holstein Ost",412775,0.741065,4,8,2
"4",104,"Schleswig-Holstein Süd",996467,0.429402,2,4,2
"5",105,"Schleswig-Holstein Süd-West",262903,0.748124,5,9,3
"6",201,"Hamburg",1762791,0.296248,1,2,1
"7",301,"Braunschweig",1121836,0.454745,2,4,2
"8",302,"Bremen-Umland",530596,0.543688,3,6,2
"9",303,"Bremerhaven",395673,0.750498,5,9,3
"10",304,"Emsland",450086,0.655266,4,8,2
"11",305,"Göttingen",529356,0.576957,4,7,2
"12",306,"Hamburg-Umland-Süd",604489,0.490025,3,5,2
"13",307,"Hannover",1403515,0.478582,3,5,2
"14",308,"Hildesheim",422367,0.574703,4,7,2
"15",309,"Lüneburg",319383,0.642267,4,7,2
"16",310,"Oldenburg",569972,0.617885,4,7,2
"17",311,"Osnabrück",644397,0.515244,3,5,2
"18",312,"Ost-Friesland",632833,0.806,5,9,3
"19",313,"Südheide",312357,0.71126,4,8,2
"20",401,"Bremen",551767,0.525795,3,6,2
"21",501,"Aachen",1244202,0.523149,3,6,2
"22",502,"Arnsberg",558303,0.522886,3,5,2
"23",503,"Bielefeld",1587807,0.452939,2,4,2
"24",504,"Bochum/Hagen",1439936,0.523838,3,6,2
"25",505,"Bonn",899739,0.286094,1,1,1
"26",506,"Dortmund",1148865,0.631904,4,7,2
"27",507,"Duisburg/Essen",2197856,0.571734,3,6,2
"28",508,"Düsseldorf",2910434,0.385102,2,3,2
"29",509,"Emscher-Lippe",986760,0.679284,4,8,2
"30",510,"Köln",2217783,0.339415,1,2,1
"31",511,"Münster",1593904,0.436674,2,4,2
"32",512,"Paderborn",441841,0.497123,3,5,2
"33",513,"Siegen",410668,0.414972,2,3,2
"34",601,"Mittelhessen",1029020,0.452829,2,4,2
"35",602,"Nordhessen",864330,0.554591,3,6,2
"36",603,"Osthessen",336720,0.470596,3,5,2
"37",604,"Rhein-Main",2803276,0.244459,1,1,1
"38",605,"Starkenburg",1060542,0.285947,1,1,1
"39",701,"Mittelrhein-Westerwald",1240667,0.57164,3,6,2
"40",702,"Rheinhessen-Nahe",855048,0.399749,2,3,2
"41",703,"Rheinpfalz",876022,0.464913,2,4,2
"42",704,"Trier",521863,0.59829,4,7,2
"43",705,"Westpfalz",517982,0.646202,4,8,2
"44",801,"Bodensee-Oberschwaben",612441,0.347122,1,2,1
"45",802,"Donau-Iller (BW)",500281,0.260326,1,1,1
"46",803,"Franken",877180,0.372535,1,2,1
"47",804,"Hochrhein-Bodensee",664688,0.487498,3,5,2
"48",805,"Mittlerer Oberrhein",1009395,0.24217,1,1,1
"49",806,"Neckar-Alb",682746,0.284801,1,1,1
"50",807,"Nordschwarzwald",580932,0.371273,1,2,1
"51",808,"Ostwürttemberg",437099,0.302211,1,2,1
"52",809,"Schwarzwald-Baar-Heuberg",476635,0.416219,2,4,2
"53",810,"Stuttgart",2694009,0.11523,1,1,1
"54",811,"Südlicher Oberrhein",1050299,0.374164,2,3,2
"55",812,"Unterer Neckar",1130939,0.293978,1,2,1
"56",901,"Allgäu",473900,0.414641,2,3,2
"57",902,"Augsburg",876783,0.399988,2,3,2
"58",903,"Bayerischer Untermain",368884,0.413795,2,3,2
"59",904,"Donau-Iller (BY)",470588,0.391809,2,3,2
"60",905,"Donau-Wald",650121,0.537916,3,6,2
"61",906,"Industrieregion Mittelfranken",1305440,0.327448,1,2,1
"62",907,"Ingolstadt",473290,0.260831,1,1,1
"63",908,"Landshut",430942,0.415022,2,4,2
"64",909,"Main-Rhön",432086,0.497771,3,5,2
"65",910,"München",2804001,0,1,1,1
