"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",716229,0.564048,4,7,2
"2",102,"Schleswig-Holstein Nord",442490,0.662666,4,8,2
"3",103,"Schleswig-Holstein Ost",412775,0.706986,5,9,3
"4",104,"Schleswig-Holstein Süd",996467,0.394986,2,4,2
"5",105,"Schleswig-Holstein Süd-West",262903,0.667112,4,8,2
"6",201,"Hamburg",1762791,0.281978,1,2,1
"7",301,"Braunschweig",1121836,0.448548,3,5,2
"8",302,"Bremen-Umland",530596,0.530305,3,6,2
"9",303,"Bremerhaven",395673,0.698558,5,9,3
"10",304,"Emsland",450086,0.622724,4,8,2
"11",305,"Göttingen",529356,0.578311,4,7,2
"12",306,"Hamburg-Umland-Süd",604489,0.457095,3,5,2
"13",307,"Hannover",1403515,0.475735,3,6,2
"14",308,"Hildesheim",422367,0.56158,4,7,2
"15",309,"Lüneburg",319383,0.625711,4,8,2
"16",310,"Oldenburg",569972,0.590441,4,7,2
"17",311,"Osnabrück",644397,0.498408,3,6,2
"18",312,"Ost-Friesland",632833,0.753294,5,9,3
"19",313,"Südheide",312357,0.651856,4,8,2
"20",401,"Bremen",551767,0.466405,3,5,2
"21",501,"Aachen",1244202,0.472972,3,5,2
"22",502,"Arnsberg",558303,0.471119,3,5,2
"23",503,"Bielefeld",1587807,0.409443,2,4,2
"24",504,"Bochum/Hagen",1439936,0.473977,3,5,2
"25",505,"Bonn",899739,0.249424,1,1,1
"26",506,"Dortmund",1148865,0.544307,3,6,2
"27",507,"Duisburg/Essen",2197856,0.509173,3,6,2
"28",508,"Düsseldorf",2910434,0.362416,2,3,2
"29",509,"Emscher-Lippe",986760,0.619855,4,8,2
"30",510,"Köln",2217783,0.292678,1,2,1
"31",511,"Münster",1593904,0.37923,2,3,2
"32",512,"Paderborn",441841,0.449079,3,5,2
"33",513,"Siegen",410668,0.384295,2,4,2
"34",601,"Mittelhessen",1029020,0.410764,2,4,2
"35",602,"Nordhessen",864330,0.50561,3,6,2
"36",603,"Osthessen",336720,0.438004,2,4,2
"37",604,"Rhein-Main",2803276,0.202426,1,1,1
"38",605,"Starkenburg",1060542,0.250549,1,1,1
"39",701,"Mittelrhein-Westerwald",1240667,0.527508,3,6,2
"40",702,"Rheinhessen-Nahe",855048,0.385141,2,4,2
"41",703,"Rheinpfalz",876022,0.457653,3,5,2
"42",704,"Trier",521863,0.550282,4,7,2
"43",705,"Westpfalz",517982,0.614428,4,8,2
"44",801,"Bodensee-Oberschwaben",612441,0.304857,1,2,1
"45",802,"Donau-Iller (BW)",500281,0.2399,1,1,1
"46",803,"Franken",877180,0.342931,1,2,1
"47",804,"Hochrhein-Bodensee",664688,0.450555,3,5,2
"48",805,"Mittlerer Oberrhein",1009395,0.2038,1,1,1
"49",806,"Neckar-Alb",682746,0.249197,1,1,1
"50",807,"Nordschwarzwald",580932,0.3153,1,2,1
"51",808,"Ostwürttemberg",437099,0.271203,1,2,1
"52",809,"Schwarzwald-Baar-Heuberg",476635,0.358365,2,3,2
"53",810,"Stuttgart",2694009,0.122646,1,1,1
"54",811,"Südlicher Oberrhein",1050299,0.348287,2,3,2
"55",812,"Unterer Neckar",1130939,0.281313,1,2,1
"56",901,"Allgäu",473900,0.37655,2,3,2
"57",902,"Augsburg",876783,0.357803,2,3,2
"58",903,"Bayerischer Untermain",368884,0.379333,2,3,2
"59",904,"Donau-Iller (BY)",470588,0.36905,2,3,2
"60",905,"Donau-Wald",650121,0.493536,3,6,2
"61",906,"Industrieregion Mittelfranken",1305440,0.284893,1,2,1
"62",907,"Ingolstadt",473290,0.259135,1,1,1
"63",908,"Landshut",430942,0.374118,2,3,2
"64",909,"Main-Rhön",432086,0.453909,3,5,2
"65",910,"München",2804001,0,1,1,1
"66",911,"Oberfranken-Ost",463093,0.486934,3,6,2
"67",912,"Oberfranken-West",592862,0.373204,2,3,2
"68",913,"Oberland",437234,0.273863,1,2,1
"69",914,"Oberpfalz-Nord",498445,0.476914,3,6,2
"70",915,"Regensburg",700811,0.385644,2,4,2
"71",916,"Südostoberbayern",805454,0.392906,2,4,2
"72",917,"Westmittelfranken",409755,0.441029,2,4,2
"73",918,"Würzburg",497879,0.309692,1,2,1
"74",1001,"Saar",989035,0.602687,4,7,2
"75",1101,"Berlin",3469849,0.55889,4,7,2
"76",1201,"Havelland-Fläming",759468,0.601194,4,7,2
"77",1202,"Lausitz-Spreewald",597366,0.670734,4,8,2
"78",1203,"Oderland-Spree",423894,0.719508,5,9,3
"79",1204,"Prignitz-Oberhavel",381334,0.741996,5,9,3
"80",1205,"Uckermark-Barnim",295810,0.771285,5,10,3
"81",1301,"Mecklenburgische Seenplatte",261733,0.866716,5,10,3
"82",1302,"Mittleres Mecklenburg/Rostock",416045,0.782072,5,10,3
"83",1303,"Vorpommern",461167,0.855467,5,10,3
"84",1304,"Westmecklenburg",460193,0.80314,5,10,3
"85",1401,"Oberes Elbtal/Osterzgebirge",1026007,0.552224,4,7,2
"86",1402,"Oberlausitz-Niederschlesien",566758,0.727568,5,9,3
"87",1403,"Südsachsen",1463341,0.684971,4,8,2
"88",1404,"Westsachsen",999168,0.722552,5,9,3
"89",1501,"Altmark",200739,1,5,10,3
"90",1502,"Anhalt-Bitterfeld-Wittenberg",376858,0.919945,5,10,3
"91",1503,"Halle/S.",745089,0.926164,5,10,3
"92",1504,"Magdeburg",912862,0.917383,5,10,3
"93",1601,"Mittelthüringen",666154,0.734167,5,9,3
"94",1602,"Nordthüringen",366855,0.794377,5,10,3
"95",1603,"Ostthüringen",673285,0.671714,4,8,2
"96",1604,"Südthüringen",450465,0.703912,5,9,3
